scenario,ticker,strategy,position,entry_date,exit_date,pnl,cum_pnl,series_id,initial_balance,equity,return_pct,prev_equity,trade_return_pct
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-10,2024-05-13,840.2866038610055,9479.808067115986,SPY|short|straddle,100000.0,109479.80806711598,0.09479808067115991,108639.52146325498,0.00773463093856884
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-13,2024-05-14,157.20065254989095,9637.008719665877,SPY|short|straddle,100000.0,109637.00871966587,0.09637008719665863,109479.80806711598,0.0014358871770538725
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-14,2024-05-15,-48.8135696312529,9588.195150034624,SPY|short|straddle,100000.0,109588.19515003462,0.09588195150034617,109637.00871966587,-0.00044522894414299256
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-15,2024-05-16,164.66408947747186,9752.859239512096,SPY|short|straddle,100000.0,109752.8592395121,0.09752859239512102,109588.19515003462,0.001502571415215244
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-16,2024-05-17,158.31670449482954,9911.175944006925,SPY|short|straddle,100000.0,109911.17594400693,0.09911175944006922,109752.8592395121,0.0014424836454541676
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-17,2024-05-20,880.582491154707,10791.758435161631,SPY|short|straddle,100000.0,110791.75843516164,0.10791758435161647,109911.17594400693,0.008011764805458094
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-20,2024-05-21,136.83779909491295,10928.596234256545,SPY|short|straddle,100000.0,110928.59623425655,0.10928596234256549,110791.75843516164,0.0012350900556831054
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-21,2024-05-22,152.7139409557958,11081.31017521234,SPY|short|straddle,100000.0,111081.31017521233,0.11081310175212322,110928.59623425655,0.0013766868610984484
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-22,2024-05-23,-87.1453869544016,10994.16478825794,SPY|short|straddle,100000.0,110994.16478825794,0.10994164788257943,111081.31017521233,-0.0007845188971659068
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-23,2024-05-24,58.738493289355574,11052.903281547295,SPY|short|straddle,100000.0,111052.90328154729,0.11052903281547288,110994.16478825794,0.0005292034351662558
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-24,2024-05-28,1169.8940687447039,12222.797350292,SPY|short|straddle,100000.0,112222.797350292,0.12222797350292014,111052.90328154729,0.010534565366370707
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-28,2024-05-29,-478.5982803678953,11744.199069924103,SPY|short|straddle,100000.0,111744.1990699241,0.117441990699241,112222.797350292,-0.004264715295538389
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-29,2024-05-30,57.258654593739266,11801.457724517843,SPY|short|straddle,100000.0,111801.45772451784,0.11801457724517839,111744.1990699241,0.0005124082956459295
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-30,2024-05-31,132.19818026253597,11933.655904780378,SPY|short|straddle,100000.0,111933.65590478037,0.11933655904780371,111801.45772451784,0.001182436999956443
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-05-31,2024-06-03,667.3369165699805,12600.992821350359,SPY|short|straddle,100000.0,112600.99282135036,0.12600992821350365,111933.65590478037,0.005961896903802285
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-03,2024-06-04,48.66223203169284,12649.655053382052,SPY|short|straddle,100000.0,112649.65505338206,0.12649655053382047,112600.99282135036,0.0004321652128671636
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-04,2024-06-05,-102.0417179956612,12547.613335386392,SPY|short|straddle,100000.0,112547.61333538638,0.12547613335386387,112649.65505338206,-0.0009058324940924675
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-05,2024-06-06,135.54705550231938,12683.16039088871,SPY|short|straddle,100000.0,112683.1603908887,0.12683160390888704,112547.61333538638,0.0012043529976810418
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-06,2024-06-07,69.900822637705,12753.061213526416,SPY|short|straddle,100000.0,112753.06121352641,0.12753061213526418,112683.1603908887,0.000620330690009268
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-07,2024-06-10,699.6475701519303,13452.708783678347,SPY|short|straddle,100000.0,113452.70878367835,0.13452708783678347,112753.06121352641,0.006205131484873575
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-10,2024-06-11,-3.912295157846529,13448.7964885205,SPY|short|straddle,100000.0,113448.7964885205,0.1344879648852051,113452.70878367835,-3.44839290290208e-05
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-11,2024-06-12,-545.7267370092286,12903.06975151127,SPY|short|straddle,100000.0,112903.06975151127,0.12903069751511276,113448.7964885205,-0.004810335181162092
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-12,2024-06-13,-45.45843808068457,12857.611313430585,SPY|short|straddle,100000.0,112857.61131343059,0.12857611313430595,112903.06975151127,-0.00040263243666212263
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-13,2024-06-14,59.26959993487753,12916.880913365463,SPY|short|straddle,100000.0,112916.88091336546,0.12916880913365447,112857.61131343059,0.0005251714903859937
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-14,2024-06-17,552.1810146120679,13469.061927977531,SPY|short|straddle,100000.0,113469.06192797753,0.13469061927977521,112916.88091336546,0.004890154688524599
ivEntry+0.00_ivExit+0.00_hs0.010_xslip0.0,SPY,straddle,short,2024-06-17,2024-06-18,104.60522885693672,13573.667156834468,SPY|short|straddle,100000.0,113573.66715683448,0.1357366715683448,113469.06192797753,0.0009218832612129378
